ques_id,question,answer
16,2022年中国联通股东大会资料指出公司在哪些方面承担了社会责任？,"""（二）积极践行企业社会责任。在网络建设方面，持续深化 5G 共建共享，累计开通 5G 共享基站 100 万站，实现乡镇及以上区域 5G 网络连续覆盖，减少碳排放每年超 1000 万吨。在通信保障方面，圆满完成国家最高等级的通信保障任务，在疫情防控、防汛抢险、抗震救灾等应急通信保障中，持续擦亮“国家首席、政府首选、人民首信”的“金字招牌”。在科技创新方面，助力“科技冬奥”实现 20 多项“历史突破”“全球首创”，打造 900MHz低频网的 5G 自主创新“试验田”，授权专利同比增长超过 50%。在高品质服务方面，坚持为客户创造价值的核心经营管理理念，为客户提供更智慧、更便捷、更有温度的服务。发布银龄专享服务计划，让老年朋友在数字化中国联合网络通信股份有限公司 2022 年年度股东大会会议资料浪潮中拥有获得感和幸福感。公司履行社会责任能力和影响力不断提升，荣获“央企 ESG 社会价值先锋 50 指数”第二名、“科技责任先锋 30 榜”第八名等奖项，两个社会责任实践案例入选国资委中央企业社会责任/ESG 系列蓝皮书案例集。"""
17,中国联通第七届监事会第九次会议的审议内容是什么？,报告期内，监事会审议通过《公司第二期限制性股票激励计划（草案修订稿）及其摘要的议案》 《公司第二期限制性股票激励计划授予名单》 《关于公司第二期限制性股票激励计划实施授予相关事项的议案》 《关于中讯邮电咨询设计院有限公司员工股权 激励事项的议案》 《关于公司 限制性股票激励计划首次授予股票第三个解锁期及预留授予股票第二个解锁期解锁的议案》限制性股票激励计划、员工股权激励相关议案。
18,中国联通董事会及各专门委员会在2022年及2023年分别召开了多少次会议？,2022年，公司共召开 10次董事会会议、 6次发展战略委员会会 议、1次提名委员会会议、 4次薪酬与考核委员会会议、 5次审计委员会会议及 7次独立董事会议。2023年，8次董事会会议、7次发展战略委员会会议、2次提名委员会会议、5次审计委员会会议、5次独立董事会议。
19,2022年中国联通的“大联接”用户规模累计有多少？,截至2022年12月，用户规模再创新高，“大联接”用户累计达到8.6亿户
20,联通在2022年和2020年的移动出账用户分别有多少？,"2022 年，公司克服疫情不利影响，引领大联接规模价值有了新的突破。移动出账用户超过 3.2 亿户；截至 2020 年底，本公司拥有移动出账用户约 30,581.1 万"
21,2022年年中和年底，联通数据中心IDC机架规模分别达到了多少？,IDC 机架数较上年底提升 1.9 万架，总数达到 32.9 万架；IDC 机架规模达到 36.3 万架
22,2022年第一季度期末，中国联通普通股股东总数是多少？,"2022年第一季度报告报告期末普通股股东总数584,621"
23,查询2020年中国联通证券事务代表的姓名。,雷晓旭
24,2020年上半年，联通哪家子公司被评为“亚洲最佳企业管治公司”？,2020年，公司荣获多项嘉许，其中包括本公司控股子公司-联通红筹公司获《金融亚洲》（FinanceAsia）评选为“亚洲最佳企业管治公司”，获《机构投资者》连续第五年评选为“亚洲最受尊崇电信企业”第一名，并于《福布斯全球上市公司2000强》中排名第286位。
25,2020年前三季度，联通网间结算成本下降的主要原因是什么？,2020年首三季度，网间结算成本比去年同期下降9.6%，主要受网间话务量下滑影响
26,2019年上半年中国联通的整体业绩情况怎么样？,"（一）整体业绩2019年上半年，伴随国内通信行业步入发展的阵痛期，公司收入增长面临压力，主营业务收入实现人民币1,330亿元，同比下降1.1%。公司坚持新发展理念，转换创新发展新动能，控成本、提效益，盈利持续快速提升。EBITDA达到人民币496亿元，同比增长8.3%；利润总额达到人民币87亿元，归属于母公司净利润达到人民币30亿元，同比增长17%。"
27,中国信通院预计2023年5G技术对经济增长带来多大程度的影响？,预计2023年5G将直接带动经济总产出1.86万亿元7，直接带动经济增加值约5512亿元，分别比2022年增长29%、41%8；间接带动总产出约4.24万亿元，间接带动经济增加值约1.55万亿元，分别比2022年增长22%、22%9。其中，5G流量消费快速提升、5G手机销售额回暖、以及垂直行业应用的迅速增长，带动直接经济产出和经济增加值实现快速上涨，极大拓展移动通信市场的发展空间。
28,有效提升通信网络覆盖深度广度的措施有哪些？,有效提升通信网络覆盖深度广度加快推进“双千兆”网络建设。积极推进5G网络建设，推动5G网络向乡镇和农村延伸，重点加强交通枢纽、大型体育场馆、景点等流量密集区域深度覆盖，全面提升重点场景5G网络质量和31中国宽带发展白皮书（2023年）用户实际体验速率。典型举措包括：提升网络服务质量。一是推动5G网络建设。部分地区会同地方各相关部门或推动省政府层面协调，调动各方有利因素，在提升建设效率、降低建设成本方面取得了实效。优化产业园区、港口、厂矿等场景5G覆盖，推广5G行业虚拟专网建设。加快“千兆城市”建设，持续扩大千兆光纤网络覆盖范围，进一步深化城市家庭、重点区域、重点行业千兆光网覆盖，面向具备条件的农村及偏远地区开展千兆网络部署。推动FTTR等业务规模化发展，持续提升用户网络体验。
29,工业互联网是推进产业结构优化升级的重要抓手包括哪些方面？,全面推动企业发展模式转变，工业互联网打通工业数据流和资源要素流，产品个性定制、装备远程运维、共享制造、产融创新等已经成为产业广泛探索的创新服务模式，工业企业从单一提供产品向提供“产品+服务”的持续性价值创造模式转变，不断延伸价值链条。例如，上汽大通通过数据直连客户与生产系统，打造用户参与设计、柔性敏捷生产、弹性供应链方案，解决个性化订单问题，实现敏捷交付与服务增值，交付周期低至 18天。同时，工业互联网推动产品体系变革，智能产品成为价值创造载体和中心，促进产品单点价值提升、价值链条延展与价值生态构建，如以特斯拉为代表的智能汽车正基于跨界数据实现资源整合，拥抱“软件定义汽车”时代，协同服务创新，智能服务营收占比不断增长。；本身作为新兴产业形成新增长点，我国工业互联网产业规模持续高速增长，正成为新的数字产业增长点，新兴产业领域快速崛起，并带动传统工业支撑产业体系的变革。据测算，2023 年我国工业互联网产业规模达 1.36 万亿元，较 2022 年增长 11%，实现“十四五”前三年持续保持两位数增长速度。数据表明，我国工业互联网产业发展实现规模稳步增长，制造业数字化转型全面提速，制造业新动能带动产业链协同高效运转，助力企业提质增效，为建设现代化产业体系提供有力支撑。同时，工业互联网催生了新型产业形态，涌现出一批专精细分领域技术的初创企业，工业智能、工业大数据、工业软件、工业安全等领域累计创业企业 3000 家。
30,2023年全球人工智能市场收入以及同比增长分别是多少？,2023年全球人工智能市场收入达5132亿美元，同比增长20.7%
31,全球数字经济发展愿景主要有哪几点？,协力强化数字技术创新性前瞻性战略性布局；强化提升新型基础设施建设水平和服务能级；大力推动数字经济和实体经济深度融合发展；探索形成互利有序的数字经济国际规则体系；打造开放包容共同发展的网络空间命运共同体
32,内蒙古联通绍天纲已获得国家专利授权和软件著作权各有多少项？,绍天纲在扎根通信网络维护的这些年里，用智慧结晶和汗水搭建起“绍天纲职工创新工作室”，已获得国家专利授权61项、软件著作权40项。
33,中国联通河南分公司根据太昊陵伏羲文化旅游区的特定信息化需求制定了一套怎样的解决方案并实现了哪些功能？,智慧管理赋能续写悠长古韵位于河南省周口市淮阳区的太昊陵伏羲文化旅游区，是为纪念三皇之首太昊伏羲氏而修建的陵庙合一的大型古建筑群，被誉为“天下第一陵”。太昊陵常年游客络绎不绝，甚至曾以单日82.5万人的参拜人数载入吉尼斯世界记录，这使得智慧管理成为景区建设的迫切需求。2022年，中国联通河南分公司根据太昊陵伏羲文化旅游区的特定信息化需求，结合国家5A级景区的创建要求，制定了一套全方位的解决方案。智慧景区系统不仅实现了景区智慧化管理，同时通过沉浸式体验也提升了伏羲文化的认知度和生命力，打造了太昊伏羲文化旅游区的崭新名片——在景区室内展示场景，中国联通通过数字技术手段，还原了从天地混沌初开，到一个民族诞生、伏羲带领华夏先民如何传承遗风、开创文明的全过程，将伏羲历史传说以光影艺术的方式带给观众沉浸化的体验，让传统文化“活”起来。除了助力5A级旅游景区，不久前文旅部公布的第一批全国智慧旅游沉浸式体验新空间培育试点项目中，上海联通与上海天文馆携手打造的智慧旅游沉浸式体验新空间(元字宙时光机)榜上有名。在上海联通工作人员的展示下，上海天文馆数字孪生平台能够如同身临现场，参观家园、宇宙、征程这三大展区。这一方案包括部署一张高效的通信网络和一套综合服务管理平台，实现了景区综合管控、客流监测、环境监测、游船调度、门禁票务、智慧停车和应急指挥等多种功能，极大地提升了景区的运营效率和游客体验。首先，在网络基础设施方面，中国联通采用了先进的5G技术，确保整个景区覆盖无死角的高速网络。5G网络的高带宽、低延时特性，不仅为游客提供了优质的移动通信服务，还支持了景区内部各种智能化设备的联网运行。
34,面对中国联通“百年传承 三十向新”的关键历史节点，中国联通董事长陈忠提出了哪三点重要倡议？,一是与合作伙伴共同推进算网向新，加速打造算力智联网策源地；二是与合作伙伴共同推进算网服务，加速打造算网数智供给新高地；三是与合作伙伴共同推进算网生态，加速打造算网产业资源集聚地
35,中国联通三农AI联合实验室组建的宗旨是什么?,该实验室的宗旨构建“三农”领域的开放共享、产学研用深度融合的智慧平台。实验室将通过聚集多方资源，打造一个涵盖农业生产、农村治理和农民生活的智能化服务体系。具体而言，实验室将重点研究和开发适用于农业生产的智能化解决方案，如智能农机、精准农业、农业物联网等技术，提升农业生产效率和产品质量。
36,联通元景大模型为了面向人工智能赋能实体经济的需要提供了哪些体系化产品?,联通元景大模型为了满足面向人工智能赋能实体经济的需要，提供从基础大模型到大模型平台再到行业大模型的体系化产品。具体来说，它包括1套基础大模型、1个大模型MaaS平台和多种行业大模型。这套基础大模型不仅涵盖了多参数版本的语言大模型和多模态大模型，而且在同参数级别下，其性能达到了业界的先进水平，并且具有安全可信赖的特性。在2024年世界人工智能大会上，中国联通元景大模型展区成为瞩目的焦点。元景大模型体系以其“1+1+M”的架构惊艳亮相，这是中国联通专为赋能实体经济业务所自主研发的一系列大模型产品。这个体系由一套基础大模型、一个大模型平台和多个行业大模型组成，旨在提供全方位、多层次的智能解决方案，以满足各行业的不同需求。元景大模型体系以其“1+1+M”的架构惊艳亮相，这是中国联通专为赋能实体经济业务所自主研发的一系列大模型产品。这个体系由一套基础大模型、一个大模型平台和多个行业大模型组成，旨在提供全方位、多层次的智能解决方案，以满足各行业的不同需求。基础大模型作为元景体系的核心，提供了强大的数据处理和分析能力，支持多种复杂的计算任务。
37,中国联通河北沧州公司纸房头营业部张玉，2012年以来荣获过哪些荣耀?,2012年以来，荣获沧州联通装维明星称号四次，荣获沧州联通好员工称号两次，荣获沧州联通服务明星称号一次。
38,“联通小象”什么时候正式成为广西联通的服务品牌？,"""联通小象2021年5月18日，“联通小象”正式成为广西联通服务品牌"""
39,山东联通如何帮助山东鑫博奥公司实现了数字化转型？,山东鑫博奥公司是中国大型的石墨制化工设备生产基地，面对传统制造业数智化转型浪潮，鑫博奥公司毅然选择了智改数转之路。智慧便民，提升社区服务力在山东省大数据局2023年标杆型智慧社区名单中，山东联通打造的“济南市槐荫区道德街街道绿地新城社区”“济宁市汶上县南站街道东和园社区”等多个项目“榜上有名”。该平台为社区居民提供了一站式便民服务，工作人员也可通过平台向居民发布相关通知，使居民能随时了解办事流程、材料准备等要求，实现“信息跑路”代替“群众跑腿”。同时，各工段节点均采用自动智能仪表、数据采集和监控系统替代人工记录，关键生产环节工艺数据自动采集，实现基于模型的先进控制和在线优化，持续提升了全流程生产线的自动化智能化生产水平。
40,美的空调泰国工厂占地面积是多少?,总体来说，项目通过建设1套BBU、7套RRU及宏站，实现了对16万平方米工厂的全面定制化专网覆盖。
41,“星罗”先进算力调度平台的主要功能是什么？,目前，“星罗”先进算力调度平台已经成功上线到内蒙古和郑州等智算中心节点。这些节点通过多元异构的计算资源和集群管理技术，实现了数据跨域和推理分发功能的完美结合。具体来说，该平台能够支持“通算+智算”双模式调度，兼顾国产化和非国产化算力资源的统一管理。通过这一平台，中国联通能够灵活地调度和管理各种算力资源，从而为客户提供稳定且高效的算力支持。在AI+平台能力板块，中国联通展出了其最新的“星罗”先进算力调度平台产品及其实践案例。“星罗”先进算力调度平台是基于联通云7.0双引擎架构开发的，旨在实现多元异构算力的适配和服务编排，形成了“通算+智算+超算”融合调度的强大能力。这种融合调度能力不仅能够为客户提供一体化的算力运营服务，还能够满足各种复杂应用场景下对算力的高效需求。
42,中国联通人工智能创新中心推出的元景2.0实现了哪四项能力升级？,基座能力升级、MaaS平台升级、安全能力升级和行业应用升级。
43,中国联通智慧社区平台在内蒙古已累计接入小区和注册用户分别是多少?,目前，在内蒙古，中国联通智慧社区平台已累计接入小区2855个，注册用户达60.5万人
44,2022年中国联通合作伙伴大会主旨演讲中提及了哪些5G+方面的已有成果？,近期，我们利用5G+微波技术开辟了烟台至大连的海上5G通道，解决了150公里海上没有手机信号的难题，得到了广泛赞誉。“5G+工业互联网”为“大应用”注入新动能。特别是我们把“5G+工业互联网”和5G全连接工厂建设升级到公司战略，打造5000多个“5G+工业互联网”项目和1000多个5G全连接工厂项目，实现22个重点行业和20大应用场景全覆盖。
45,人工智能共享数据集AIData的发布日期是什么时候？,2024年7月19日下午，中国联通合作伙伴大会“人工智能创新发展论坛”在上海盛大召开。会上，中国联通数字化部副总经理娄瑜正式发布了中国联通人工智能共享数据集AIData
46,2024中国联通合作伙伴大会算网生态大会上，中国工程院院士刘韵洁所作分享的主题是什么？,刘韵洁作了题为《AI推动网络发展模式创新》的精彩分享。
47,中国联通人工智能赋能全域数字化论坛上提到了哪些服务县域数字化的案例？,在服务县域数字化方面，中国联通已经打造了一批生动实践。在安徽池州贵池区，联通数科建设的贵池工业互联网平台推动园区内30家中小企业上云；在广西百色百万亩芒果生产核心区，物联网技术让百色芒果卖出好渠道、好价格；在云南盐津县，产业大数据平台不让一只鸡“游离”于组织之外，带动全县23520人增收。此外，中国联通“数字乡村服务云平台”在全国已经遍及26万村，为乡村公共安全、乡村治理和种养殖数字化等提供个性化防护。两大实验室宣布成立 论坛现场，“中国联通县域数字化创新实验室”和“中国联通三农AI联合实验室”宣布正式成立。“中国联通县域数字化创新实验室”落地四川成都，由联通数科云津智慧科技有限公司实体运行，致力打造县域数智化转型的政府新智库、业界新智囊、科研新示范、学术新高地、场景新范式，锻造县域数智化转型新质生产力。
48,“格物”设备管理平台支持哪些协议类型？,“格物”设备管理平台还支持通过泛协议SDK编写适配器，让这些终端也能无缝上云，同时这些适配器还可以作为可选插件进行复用。所谓数字孪生，即“格物”设备管理平台支持各种物模型定义和基于物模型的数据上下行。目前，平台上沉淀的行业标准物模型已经超过270个，而由这些标准物模型派生出的设备物模型已有上万种。应云而生的“格物”设备管理平台，面向海量异构设备上云的复杂场景，贯通物联网的“云管边端”，实现了从设备接入承载、感知数据挖掘，到行业应用开发赋能能力的全方位覆盖，具备“泛在感知、数字孪生、物网协同、生态开放”四大特色。所谓泛在感知，即“格物”设备管理平台支持的协议类型比较多，几乎覆盖了95%以上的应用场景。它不仅能够支持MQTT、HTTP、LwM2M等通用协议，还可以支持一些重点行业协议的云端解析，包括交通、水利、环保、工业等行业的标准协议。平台支持数字孪生的建模，整条工业产线都可以在“格物”设备管理平台上快速构建出数字孪生的数据模型，所有传感器、产线设备上报数据后，可以通过流式计算引擎快速形成数字孪生的数据实例。物网协同意味着“格物”设备管理平台与连接管理平台之间是打通的，针对蜂窝物联网设备，可以查询设备的网络状态，进而提供网络查询、位置服务等服务，再结合联通自研的模组，还能进一步实现网络优化、设备节电配置等高级服务。生态开放是时代要求，也是业务使然。这也是“格物”诞生的背景。“格物”覆盖了南向各种协议终端的接入、设备生命周期管理（包括设备远程监控、远程配置和远程升级），能够对感知数据进行存储、分析和挖掘，具有设备管理应用的赋能等诸多能力。
49,联通云如何保障企业的容器环境安全？,联通云重点关注容器全生命周期防护及持续的监控与分析，以此保障企业的容器环境安全，用户可通过低代码方式快速构建安全可视化大屏，展现企业风险场景、分析风险原因，使容器安全清晰可衡量。联通云安全产品可大幅提高安全攻击防御门槛，有效缩减攻击并提供持续性监控分析，及时发现重要安全险。联通云持续关注监管政策，帮助企业制定安全基线，满户云上安全的个性化需求。联通云自主研发的产品，具有完善的安全建设方案，能够满足国家等级保护要求。运营商级数据中心、物理安全、网络安全、平台安全、数据安全、应用安全多级防护;7×24专业云运维人员服务保障。
50,中国联通生态合作伙伴大会上，哪几位院士被聘请为中国联通大数据原创技术特聘院士专家？,中国联通特邀请中国科学院院士、北京大学教授梅宏院士，中国科学院院士、清华大学教授王小云院士，加拿大工程院院士、欧洲科学院院士、郑州大学学术副校长杨天若院士，欧洲科学院院士、北京大学博雅讲席教授张大庆院士，为中国联通大数据原创技术特聘院士专家。
51,元景2.0实现了哪四项能力的升级？,推出了元景2.0，实现了四项能力升级：基座能力升级、MaaS平台升级、安全能力升级和行业应用升级。
52,元景2.0如何解决大模型进行RAG时“不会查、看不全、找不对”的问题？,元景2.0创新性地使用了级联切分的方法，切出各种长度不同的文本块，实现召回率5%的提升；为解决表格特别是长表格，在建知识库时被从中间切开而“看不全”的问题，元景2.0创造性地使用了自适应的表格拆分和整合，自动补齐了表头和标题等信息，使表格问答的准确率提升了20个百分点；针对车牌号、故障码等字符串查询“找不对”的问题，元景2.0采用多路检索融合的方式，使回答准确率提升近20个百分点
53,联通元景在辽宁12345省级平台的应用提升了哪些服务指标？,辽宁12345省级平台的全部坐席已全面接入政务热线大模型，实现了工单填单时间缩短80%，工单记录完整度提升30%，内容推荐准确率提升35%通过元景经济大模型和一系列高效AI工具，联通提升了经济运行监测和辅助决策的智能化水平，为政府和企业提供了科学的数据支持和决策依据，推动了数字政务的高效运行。
54,联数网和可信数据资源空间是什么？,“联数网”是一个覆盖网络、算力、数据和智能应用的综合性数据基础设施，它通过高效的网络连接和强大的计算能力，为各种数据应用场景提供了坚实的技术支持。而“可信数据资源空间”则专注于数据资源的可信开发与安全管理，确保数据在采集、存储、传输和使用全过程中的安全和可靠性。“可信数据资源空间”是一个集数据加密、隐私保护、权限控制于一体的综合性数据安全平台。
55,中国联通在响应绿色低碳战略过程中，与哪个企业合作探索了无线网络共建共享模式？,中国联通与中国电信携手合作，共同探索无线网络共建共享的新模式。
56,郝鹏在文章中提到，国资委党委推动新时代国资央企的历史性成就集中体现在哪些方面？,国资委党委深入学习领会、坚决贯彻落实，推动新时代国资央企通过革命性锻造、系统性重塑，取得了历史性成就，集中体现在取得重大政治成果、实践成果和制度成果上。
57,“2022年中国网信十大技术产品”榜首产品是什么？,“联通云7.0”新一代云计算平台位列“2022年中国网信十大技术产品”榜首
58,央地携手合作落实成渝地区双城经济圈建设国家战略共建现代化新重庆座谈会的主持人是谁？,重庆市委副书记、市长胡衡华主持会议。
59,中国联通与中国电信共建共享的具体成效是什么？,"为此，中国联通与中国电信携手合作，共同探索无线网络共建共享的新模式。自2020年底，双方已实现了38万站址的共享，这一举措不仅有效降低了网络建设成本，更在节能减排方面取得了显著成效。据估算，双方每年因此可节约123亿度电，减少碳排放约330万吨，相当于每年减少近千万辆家用轿车行驶产生的碳排放量。继续与中国电信紧密合作，新开通5G基站31万站，双方累计开通5G基站69万站，建成全球规模最大的5G共建共享网络。4G共享规模进一步突破，双方共享4G基站66万站。通过4G/5G网络共建共享，公司积极助力“碳达峰、碳中和”双碳目标，每年预计可节约用电超过175亿度、累计减排二氧化碳超过600万吨，并累计为双方节省投资超过人民币2,100亿元。中国联通在企业内部率先实现了电信行业内首家内部数据100%集约化运营。这意味着，企业内部所有的数据都经过统一管理和优化，提高了数据的利用效率和质量。这种集约化运营不仅提升了企业内部数据的价值，更为外部合作提供了坚实的基础。"
60,一体推进“三不腐”中的关键是什么？,在一体推进“三不腐”中，不能腐是关键，侧重于扎紧笼子、堵塞漏洞。
61,中星26号通信卫星的发射日期是哪一天？,据了解，中星26号是目前国内接入容量最大的一颗通信卫星，于2023年2月23日发射成功，单星容量超过100Gbps，可支持百万终端通信，最大可提供450Mbps的通信能力。
62,“两增一控三提高”具体是指什么？,明年“两利四率”要努力实现“两增一控三提高”，“两增”即利润总额和净利润增速高于国民经济增速，“一控”即控制好资产负债率，“三提高”即营业收入利润率、全员劳动生产率、研发经费投入进一步提高。
63,中国联通大数据首席科学家范济安在人工智能赋能新型工业化论坛上发布了什么计划？,发布双跨平台全面智能化升级行动论坛现场，中国联通大数据首席科学家范济安重磅发布了“格物Unilink工业互联网平台Al+计划”，这不仅是技术的突破，更是工业互联网发展模式的革新。
64,中国联通成立于哪一年？,“三十向新”——1994年7月19日，中国联合通信有限公司(简称中国联通)成立大会在北京钓鱼台国宾馆召开，拉开了我国电信业体制改革的序幕。
65,中国联通的创始人胡启立同志在原电子工业部担任了部长几年？,改革开放30年间，我有幸从1993年至1998年在电子工业部工作了五年。
66,截至2008年8月，中国的固化装机和移动电话数量分别是多少？,截至2008年8月，全国共有固话用户3.54亿户，移动电话用户6.16亿户，两项均为世界第一。
67,在上海联通沉浸式数字生活体验厅内，能体验哪些沉浸式数字生活？,上海联通沉浸式数字生活体验厅随着5G赋能千行百业，数字化赋能不断深入，智慧营业厅的内容不断与时俱进。2023年5月，首条2000兆全屋光宽带在杭州联通延安路营业厅开通，现场可感受千兆速率翻倍带来的极速体验。智慧景区系统不仅实现了景区智慧化管理，同时通过沉浸式体验也提升了伏羲文化的认知度和生命力，打造了太昊伏羲文化旅游区的崭新名片——在景区室内展示场景，中国联通通过数字技术手段，还原了从天地混沌初开，到一个民族诞生、伏羲带领华夏先民如何传承遗风、开创文明的全过程，将伏羲历史传说以光影艺术的方式带给观众沉浸化的体验，让传统文化“活”起来。除了助力5A级旅游景区，不久前文旅部公布的第一批全国智慧旅游沉浸式体验新空间培育试点项目中，上海联通与上海天文馆携手打造的智慧旅游沉浸式体验新空间(元字宙时光机)榜上有名。在上海联通工作人员的展示下，上海天文馆数字孪生平台能够如同身临现场，参观家园、宇宙、征程这三大展区。通过数据分析和监项目，运用LBEVR行进式大空间数字科技，打破虚拟与现实的壁垒，开展沉浸式自由行进探索互动党课。这一全新的红色文旅体验不仅面向党员，更面向全社会，以青少年喜闻乐见的方式讲述建党故事，让红色文化走出纪念馆，是中国联通AI赋能文旅行业数智转型的生动实践。中国联通在主动融入上海现代化产业体系和城市数字化转型过程中，展现了其在数字创新和安全运营服务方面的卓越能力和雄厚实力。
68,我国哪一年开始发放的4G牌照？,2013年，我国开始发放4G牌照，网络代际更迭迅速引爆了通信行业规模扩张和创新速度，互联网随之进入到移动互联网时代。
69,2009年3G牌照发放，中国联通拿到的牌照是什么？,2009年3G牌照发放，中国联通拿到了WCDMA牌照。
70,在2017年12月26日的北京冬奥会合作伙伴的签约仪式中，中国联通提出了什么主题理念？,在2017年12月26日的北京冬奥会合作伙伴的签约仪式中，中国联通提出了“智慧冬奥联通未来”的主题理念。
71,中国联通为了向青少年和校园学生群体普及冬奥知识和文化，启动了什么活动？,中国联通还启动了“校园冬奥计划”，该活动时间将持续四年左右，旨在青少年和校园学生群体中进一步传播奥林匹克精神，普及冬奥知识和文化。
72,我国什么时候开通的第一个大规模商用模拟移动通信系统？,1987年10月，我国开通第一个大规模商用模拟移动通信系统，时任邮电部部长杨泰芳拨通了中国第一个移动电话。
73,截至2024年5月底，中国联通“大联接”用户有多少？,截至2024年5月底，中国联通“大联接”用户超过10.5亿户。
74,福建联通建成的“闽宁云”算力服务项目在何时登上央视新闻联播？,2023年11月26日，福建联通和宁夏联通共同打造的“闽宁云”算力服务厦门金龙客车项目登上央视新闻联播
75,2024年福建联通的移动网人口覆盖率和行政村覆盖率分别是多少？,从1996年福建联通各地市GSM网陆续开通、2000年实现网络省内覆盖“县县通”，到2024年在全省开通3.8万个5G基站，移动网人口覆盖率达99.9%、行政村覆盖率达99.8%，福建联通实现5G网络覆盖所有地市城区、县城城区和乡镇镇区，并在全省高速公路、动车、高铁等重要交通干线着力打造优质网络，满足出行旅客对流畅上网的需求，实现全省第一条时速350公里的福厦高铁的5G信号全覆盖。
76,2024年青海联通的网络建设覆盖情况如何？,青海联通人发扬“高原背包客”的坚韧精神，建成覆盖全省人口98.5%，覆盖 96.4%的行政村的精品移动网络。目前，全省城区居民住宅覆盖率达到 94.1%，行政村覆盖率 38.3%，西宁市、海东市、海南州城区实现千兆全覆盖。赋能未来政商企发展新生态。近年来，青海联通建成全面覆盖骨干及本地云池的智能化网络，为全省党政企事业单位提供高品质专线组网服务。目前，西宁市汇聚区、城区综合接入区、各州县县城及以上覆盖率均达到 100%。政企精品网的建设发展，实现了高品质专线服务的目标，形成了良好的政企客户网络差异化竞争优势。
